id,code,name,reconcile,user_type_id/id,chart_template_id/id,note
account_841200,841200,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,FALSE,l10n_tw_standard_ifrss.account_type_discontinued_operations,l10n_tw.tw_chart_template,非常用專案
account_871100,871100,備供出售金融資產未實現損益,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_872100,872100,現金流量避險中屬有效避險部分之避險工具損益,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_873100,873100,國外營運機構財務報表換算之兌換差額,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_874100,874100,未實現重估增值,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_875100,875100,採用權益法認列之備供出售金融資產未實現損益,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_875200,875200,採用權益法認列之現金流量避險中屬有效避險部分之避險工具損益,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_875300,875300,採用權益法認列之國外營運機構財務報表換算之兌換差額 ,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_875400,875400,採用權益法認列之未實現重估增值,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案
account_876100,876100,與本期其他綜合損益相關之所得稅,FALSE,l10n_tw_standard_ifrss.account_type_other_comprehensive,l10n_tw.tw_chart_template,非常用專案

